id,username,date,text,hashtags,geo
901498521030983681,Energia_com,2017-08-26 17:36:11+00:00,"Where's the hurricane? Hardly any wind (5 mph) as seen from our backyard in Houston. It's cooler: 81F, not 95. pic.twitter.com/UjnMrJ9mLQ",,
901498061339361281,Killshaw,2017-08-26 17:34:21+00:00,Enjoying this rain with the family. Waiting to see what happens #hurricane #hurricaneharvey… https://www.instagram.com/p/BYQ_tvljKKY/,#hurricane #hurricaneharvey,
901494909437399040,Cyclingexpat,2017-08-26 17:21:50+00:00,Hurricane Harvey still hanging around!! Sheets and sheets of… https://www.instagram.com/p/BYQ-Rs1hMthG1-BY8evrieiKoQEvLcOSsqJpdg0/ …,,
901493527732928512,bzygo,2017-08-26 17:16:20+00:00,"Hurricane Categories @Alief, Houston https://www.instagram.com/p/BYQ9pWtBOOD/",,
901493517524111360,CamilleLasin,2017-08-26 17:16:18+00:00,Had to make a detour before I went home!! Hurricane Harvey Cheat Day!! @Krispy Kreme Westheimer https://www.instagram.com/p/BYQ9pVNAF-5/,,
901492380246921217,alhllwy,2017-08-26 17:11:47+00:00,"Hurricane Harvey hates me, apparently. (@Emily & Rachel's in Dayton, TX) https://www.swarmapp.com/c/7RkCU8gaumQ",,
901491774274797572,victormoore77,2017-08-26 17:09:22+00:00,"After the hurricane, come praise God! Venue is Rose party Hall 1124 Beechnut Street, Houston,… https://www.instagram.com/p/BYQ82RJlvSh/",,
901487593505906689,TommyOGolf,2017-08-26 16:52:45+00:00,"Golf lessons with the @orangewhipgolf during Hurricane Harvey. #LoveMyJob #911Lesson @Houston,… https://www.instagram.com/p/BYQ68_YhR_A/",#LoveMyJob #911Lesson,
901484699989581824,Edward_Brinkley,2017-08-26 16:41:15+00:00,Who scared of hurricane harvey??? NOT US!!! BRING IT ON!!!!!!! #hurricaneharvey… https://www.instagram.com/p/BYQ5oXWl2Gb/,#hurricaneharvey,
901482365612118016,RayHunna,2017-08-26 16:31:59+00:00,"Hurricane Hunna @Westside, Houston, Texas https://www.instagram.com/p/BYQ4cnsldYF/",,
901481303480176640,leilowhtx,2017-08-26 16:27:46+00:00,"Due to Hurricane Harvey, we will be closed today, Saturday 8/26. We hope to be back tomorrow.… https://www.instagram.com/p/BYQ4FyBncSc/",,
901480809240162304,AVONbyMindy,2017-08-26 16:25:48+00:00,"Husband in ICU. Hurricane Harvey prevents me from visiting him, threatens my home with flooding… https://www.instagram.com/p/BYQ33f_BRXH/",,
901478560438730754,carille1,2017-08-26 16:16:52+00:00,This is my first hurricane. Harvey hit the coast of Texas as a category 4 and reeked havoc on… https://www.instagram.com/p/BYQ2swDFcVw/,,
901477942840225793,emptymiddle,2017-08-26 16:14:24+00:00,Because #Harvey #Hurricane #donuts @Shipley Do-Nuts https://www.instagram.com/p/BYQ2jlUlrZ4pSAQGMudZwNzObldb4SuphHk-Ms0/ …,#Harvey #Hurricane #donuts,
